transaction_id,customer_id,merchant_id,merchant_category,transaction_amount,num_installments,transaction_date,fee_revenue,is_default,true_default_probability
TXN1000050,CUST100452,MER1131,Home & Furniture,658.12,3,2026-06-03,26.32,0,0.0396
TXN1000051,CUST103924,MER1010,Home & Furniture,847.52,2,2025-09-18,33.9,0,0.0847
TXN1000052,CUST104189,MER1298,Education,225.44,2,2026-03-14,5.64,0,0.0611
TXN1000053,CUST100921,MER1299,Travel,1412.33,12,2026-03-22,49.43,0,0.1114
TXN1000054,CUST104640,MER1365,Home & Furniture,718.91,2,2025-10-14,28.76,0,0.0251
TXN1000055,CUST103126,MER1242,Sporting Goods,171.45,2,2025-10-11,8.57,0,0.0431
TXN1000056,CUST102726,MER1217,Home & Furniture,820.05,2,2026-01-06,32.8,0,0.0221
TXN1000057,CUST103422,MER1274,Health & Fitness,233.97,2,2026-06-29,10.53,0,0.0232
TXN1000058,CUST101516,MER1293,Education,349.27,2,2026-09-03,8.73,1,0.1108
TXN1000059,CUST100132,MER1019,Electronics,129.33,3,2026-06-01,5.82,0,0.0592
TXN1000060,CUST102264,MER1277,Travel,968.75,3,2026-02-26,33.91,1,0.1751
TXN1000061,CUST103764,MER1082,Home & Furniture,291.29,12,2026-08-09,11.65,0,0.0811
TXN1000062,CUST104614,MER1217,Health & Fitness,96.67,3,2025-12-13,4.35,0,0.027
TXN1000063,CUST102210,MER1083,Fashion & Apparel,223.55,4,2026-06-08,12.3,0,0.2664
TXN1000064,CUST101376,MER1182,Travel,550.9,3,2026-05-13,19.28,0,0.1533
TXN1000065,CUST100677,MER1064,Beauty & Wellness,48.1,6,2026-06-18,2.89,0,0.0638
TXN1000066,CUST104680,MER1352,Travel,1121.22,6,2026-02-17,39.24,0,0.2496
TXN1000067,CUST101215,MER1229,Fashion & Apparel,164.11,4,2026-08-07,9.03,0,0.2299
TXN1000068,CUST104583,MER1011,Fashion & Apparel,192.68,2,2025-11-03,10.6,1,0.0395
TXN1000069,CUST100960,MER1133,Home & Furniture,316.21,6,2025-11-24,12.65,1,0.4555
TXN1000070,CUST100091,MER1032,Sporting Goods,159.45,2,2025-09-22,7.97,0,0.0712
TXN1000071,CUST101177,MER1183,Education,615.26,12,2026-07-07,15.38,0,0.1047
TXN1000072,CUST102502,MER1096,Education,422.19,2,2026-07-21,10.55,0,0.0304
TXN1000073,CUST101845,MER1287,Sporting Goods,266.03,4,2026-02-03,13.3,0,0.0986
TXN1000074,CUST104570,MER1383,Electronics,351.19,3,2025-11-05,15.8,0,0.0308
TXN1000075,CUST102774,MER1217,Health & Fitness,133.65,2,2026-01-10,6.01,0,0.0746
TXN1000076,CUST100603,MER1002,Education,438.74,3,2026-05-11,10.97,1,0.1028
TXN1000077,CUST103149,MER1182,Groceries,84.36,4,2026-08-17,2.53,0,0.0125
TXN1000078,CUST102038,MER1384,Groceries,68.01,6,2026-03-22,2.04,0,0.1489
TXN1000079,CUST103471,MER1363,Health & Fitness,130.19,6,2026-05-15,5.86,1,0.1039
TXN1000080,CUST103968,MER1213,Beauty & Wellness,64.48,6,2026-09-12,3.87,0,0.1309
TXN1000081,CUST104936,MER1255,Beauty & Wellness,93.77,3,2026-01-05,5.63,0,0.0739
TXN1000082,CUST102916,MER1138,Jewelry & Accessories,395.93,4,2026-02-09,25.74,0,0.1516
TXN1000083,CUST101931,MER1274,Home & Furniture,703.71,3,2026-05-18,28.15,0,0.1388
TXN1000084,CUST102230,MER1350,Health & Fitness,150.45,4,2025-12-29,6.77,0,0.0845
TXN1000085,CUST102107,MER1071,Groceries,66.17,4,2025-09-21,1.99,0,0.0441
TXN1000086,CUST102285,MER1371,Beauty & Wellness,69.94,3,2026-06-03,4.2,1,0.0473
TXN1000087,CUST100160,MER1241,Education,530.08,2,2026-07-13,13.25,0,0.1118
TXN1000088,CUST101289,MER1025,Fashion & Apparel,123.26,3,2026-03-26,6.78,0,0.2238
TXN1000089,CUST104940,MER1206,Health & Fitness,95.08,2,2026-03-20,4.28,0,0.1471
TXN1000090,CUST104658,MER1057,Groceries,60.8,2,2026-02-16,1.82,0,0.1441
TXN1000091,CUST100258,MER1377,Home & Furniture,655.83,4,2026-01-24,26.23,0,0.0581
TXN1000092,CUST104909,MER1373,Sporting Goods,99.02,6,2026-01-20,4.95,1,0.0524
TXN1000093,CUST104004,MER1296,Education,660.76,3,2026-04-05,16.52,0,0.0502
TXN1000094,CUST100021,MER1076,Fashion & Apparel,109.37,3,2026-06-18,6.02,0,0.0509
TXN1000095,CUST104591,MER1335,Groceries,60.88,12,2026-03-24,1.83,0,0.0545
TXN1000096,CUST104824,MER1389,Jewelry & Accessories,257.83,12,2026-08-12,16.76,0,0.3364
TXN1000097,CUST103169,MER1263,Travel,846.91,2,2026-03-24,29.64,0,0.0342
TXN1000098,CUST103981,MER1208,Home & Furniture,1138.39,3,2026-01-21,45.54,0,0.0387
TXN1000099,CUST101747,MER1130,Home & Furniture,758.67,2,2026-01-19,30.35,0,0.1997
TXN1000100,CUST102896,MER1226,Travel,821.88,3,2026-05-02,28.77,0,0.0811
TXN1000101,CUST103719,MER1264,Sporting Goods,105.25,6,2026-04-26,5.26,1,0.1632
TXN1000102,CUST102833,MER1088,Groceries,52.28,3,2025-12-07,1.57,0,0.0285
TXN1000103,CUST101598,MER1387,Groceries,49.9,2,2025-10-22,1.5,0,0.0224
TXN1000104,CUST103295,MER1239,Beauty & Wellness,102.4,2,2025-10-09,6.14,0,0.065
TXN1000105,CUST104230,MER1129,Health & Fitness,114.98,12,2025-11-06,5.17,0,0.1634
TXN1000106,CUST104221,MER1021,Travel,1133.99,3,2026-09-12,39.69,0,0.0708
TXN1000107,CUST100680,MER1068,Education,461.14,3,2026-02-05,11.53,0,0.0874
TXN1000108,CUST102285,MER1289,Beauty & Wellness,44.82,4,2026-04-03,2.69,0,0.052
TXN1000109,CUST100214,MER1124,Jewelry & Accessories,479.89,3,2026-04-03,31.19,0,0.0871
TXN1000110,CUST103192,MER1072,Groceries,51.87,2,2026-07-10,1.56,0,0.0347
TXN1000111,CUST101265,MER1311,Fashion & Apparel,93.94,2,2025-12-31,5.17,0,0.0443
TXN1000112,CUST104671,MER1313,Electronics,411.7,3,2025-12-19,18.53,1,0.173
TXN1000113,CUST103119,MER1034,Fashion & Apparel,147.58,4,2026-04-01,8.12,0,0.2065
TXN1000114,CUST102094,MER1133,Travel,733.87,2,2026-09-11,25.69,0,0.0746
TXN1000115,CUST103718,MER1371,Groceries,73.36,3,2026-01-24,2.2,0,0.0162
TXN1000116,CUST101088,MER1048,Sporting Goods,121.88,4,2026-03-15,6.09,0,0.0181
TXN1000117,CUST100463,MER1285,Fashion & Apparel,182.5,3,2026-05-04,10.04,0,0.0738
TXN1000118,CUST100445,MER1146,Fashion & Apparel,56.9,12,2026-05-21,3.13,0,0.1167
TXN1000119,CUST102948,MER1243,Sporting Goods,145.67,4,2025-12-20,7.28,0,0.2
TXN1000120,CUST104478,MER1243,Groceries,82.15,4,2026-01-20,2.46,0,0.0135
TXN1000121,CUST101169,MER1070,Fashion & Apparel,104.23,3,2026-08-22,5.73,0,0.0524
TXN1000122,CUST103851,MER1278,Groceries,51.58,2,2026-04-29,1.55,0,0.0262
TXN1000123,CUST100204,MER1217,Home & Furniture,297.28,6,2026-08-31,11.89,0,0.037
TXN1000124,CUST101875,MER1134,Beauty & Wellness,119.8,3,2025-12-15,7.19,0,0.0198
TXN1000125,CUST103325,MER1006,Electronics,409.29,2,2025-12-27,18.42,0,0.2492
TXN1000126,CUST104169,MER1399,Electronics,524.91,3,2026-06-18,23.62,0,0.1493
TXN1000127,CUST104720,MER1227,Health & Fitness,168.11,4,2026-01-09,7.56,0,0.0378
TXN1000128,CUST103189,MER1131,Education,192.56,12,2026-06-08,4.81,0,0.0884
TXN1000129,CUST102336,MER1119,Groceries,21.1,2,2026-07-25,0.63,0,0.0175
TXN1000130,CUST100313,MER1136,Electronics,329.28,12,2026-04-24,14.82,0,0.1045
TXN1000131,CUST101452,MER1214,Beauty & Wellness,145.84,12,2026-02-09,8.75,0,0.2266
TXN1000132,CUST104642,MER1375,Beauty & Wellness,79.77,2,2026-03-15,4.79,0,0.1279
TXN1000133,CUST102948,MER1144,Beauty & Wellness,143.62,6,2026-01-08,8.62,0,0.2071
TXN1000134,CUST101803,MER1332,Fashion & Apparel,66.51,2,2025-09-15,3.66,0,0.0864
TXN1000135,CUST101299,MER1176,Fashion & Apparel,157.92,6,2026-05-02,8.69,0,0.0534
TXN1000136,CUST100587,MER1213,Education,613.51,6,2026-02-08,15.34,0,0.1493
TXN1000137,CUST103810,MER1223,Health & Fitness,80.23,12,2025-10-16,3.61,0,0.2064
TXN1000138,CUST102155,MER1358,Electronics,143.8,3,2025-11-10,6.47,0,0.0345
TXN1000139,CUST104687,MER1381,Beauty & Wellness,135.59,2,2026-06-12,8.14,0,0.0667
TXN1000140,CUST102289,MER1231,Fashion & Apparel,88.18,2,2026-04-14,4.85,0,0.0171
TXN1000141,CUST104131,MER1393,Electronics,596.45,4,2026-03-01,26.84,0,0.1157
TXN1000142,CUST100670,MER1174,Sporting Goods,133.9,4,2026-06-01,6.7,0,0.1249
TXN1000143,CUST100776,MER1245,Beauty & Wellness,122.8,4,2026-07-25,7.37,0,0.096
TXN1000144,CUST101440,MER1347,Groceries,56.45,6,2026-08-25,1.69,0,0.043
TXN1000145,CUST101002,MER1056,Home & Furniture,848.0,6,2025-12-20,33.92,0,0.0832
TXN1000146,CUST104900,MER1308,Jewelry & Accessories,437.03,4,2026-01-17,28.41,0,0.0668
TXN1000147,CUST104082,MER1018,Travel,1360.08,4,2026-07-31,47.6,0,0.0816
TXN1000148,CUST101843,MER1024,Fashion & Apparel,193.62,4,2025-11-05,10.65,0,0.0356
TXN1000149,CUST102649,MER1397,Health & Fitness,186.76,3,2026-09-08,8.4,0,0.0544
TXN1000150,CUST102720,MER1034,Home & Furniture,580.77,2,2026-04-27,23.23,0,0.2478
TXN1000151,CUST103071,MER1252,Jewelry & Accessories,132.59,3,2026-05-14,8.62,0,0.0825
TXN1000152,CUST100527,MER1255,Sporting Goods,169.12,6,2026-01-24,8.46,0,0.2289
TXN1000153,CUST101847,MER1239,Home & Furniture,589.27,12,2026-02-24,23.57,1,0.3991
TXN1000154,CUST100443,MER1036,Home & Furniture,996.73,4,2026-02-14,39.87,0,0.2106
TXN1000155,CUST104616,MER1016,Beauty & Wellness,132.45,4,2025-12-19,7.95,0,0.1605
TXN1000156,CUST102112,MER1010,Health & Fitness,156.45,2,2026-02-08,7.04,0,0.029
TXN1000157,CUST103697,MER1376,Travel,1081.62,3,2026-02-03,37.86,0,0.114
TXN1000158,CUST104630,MER1299,Jewelry & Accessories,568.88,4,2026-04-05,36.98,0,0.0341
TXN1000159,CUST101628,MER1063,Fashion & Apparel,97.34,4,2026-04-17,5.35,0,0.1855
TXN1000160,CUST100449,MER1189,Electronics,458.96,4,2025-12-26,20.65,0,0.0559
TXN1000161,CUST101765,MER1216,Home & Furniture,479.81,4,2026-09-12,19.19,0,0.2233
TXN1000162,CUST103418,MER1156,Fashion & Apparel,163.63,6,2026-05-05,9.0,1,0.0171
TXN1000163,CUST102532,MER1120,Beauty & Wellness,74.33,12,2026-07-15,4.46,0,0.0482
TXN1000164,CUST100397,MER1047,Home & Furniture,247.25,4,2025-10-26,9.89,0,0.0561
TXN1000165,CUST100367,MER1153,Fashion & Apparel,185.08,2,2026-06-26,10.18,0,0.0426
TXN1000166,CUST103568,MER1013,Education,487.88,2,2026-01-05,12.2,0,0.0568
TXN1000167,CUST103742,MER1131,Home & Furniture,969.51,2,2025-12-12,38.78,0,0.0719
TXN1000168,CUST100564,MER1280,Electronics,604.5,2,2026-04-01,27.2,0,0.325
TXN1000169,CUST104014,MER1104,Travel,1001.85,3,2025-10-09,35.06,0,0.0568
TXN1000170,CUST101818,MER1390,Jewelry & Accessories,171.88,6,2025-12-30,11.17,1,0.2728
TXN1000171,CUST100354,MER1104,Health & Fitness,172.73,4,2026-06-25,7.77,0,0.1021
TXN1000172,CUST101750,MER1348,Beauty & Wellness,78.21,2,2026-04-04,4.69,1,0.0525
TXN1000173,CUST103716,MER1032,Sporting Goods,325.08,6,2026-07-25,16.25,0,0.0744
TXN1000174,CUST103330,MER1226,Fashion & Apparel,156.47,2,2026-08-03,8.61,0,0.0732
TXN1000175,CUST102440,MER1008,Electronics,641.01,6,2026-06-25,28.85,0,0.2739
TXN1000176,CUST101469,MER1183,Jewelry & Accessories,384.58,4,2025-11-19,25.0,0,0.1374
TXN1000177,CUST102179,MER1161,Groceries,90.04,6,2026-02-23,2.7,0,0.0288
TXN1000178,CUST102001,MER1039,Electronics,519.83,3,2026-04-14,23.39,1,0.091
TXN1000179,CUST102043,MER1032,Home & Furniture,581.13,4,2026-02-16,23.25,1,0.0343
TXN1000180,CUST102489,MER1284,Beauty & Wellness,127.81,6,2026-07-03,7.67,0,0.0885
TXN1000181,CUST102292,MER1138,Electronics,193.61,2,2025-12-11,8.71,0,0.0394
TXN1000182,CUST100518,MER1096,Beauty & Wellness,137.6,2,2026-04-25,8.26,0,0.1071
TXN1000183,CUST101521,MER1096,Groceries,93.37,2,2026-07-17,2.8,0,0.0421
TXN1000184,CUST100667,MER1193,Electronics,506.46,2,2026-05-12,22.79,0,0.1144
TXN1000185,CUST103051,MER1199,Fashion & Apparel,107.57,4,2026-08-20,5.92,0,0.0748
TXN1000186,CUST102179,MER1312,Groceries,37.02,4,2026-07-05,1.11,0,0.0237
TXN1000187,CUST103427,MER1252,Sporting Goods,235.04,4,2026-05-31,11.75,0,0.0982
TXN1000188,CUST100447,MER1274,Sporting Goods,220.11,3,2026-04-26,11.01,0,0.1173
TXN1000189,CUST101814,MER1155,Home & Furniture,210.84,2,2026-08-18,8.43,0,0.0719
TXN1000190,CUST100938,MER1370,Fashion & Apparel,112.1,12,2026-03-13,6.17,1,0.1614
TXN1000191,CUST100467,MER1183,Home & Furniture,287.63,6,2025-10-07,11.51,0,0.0616
TXN1000192,CUST103902,MER1330,Groceries,58.8,3,2026-03-09,1.76,0,0.0246
TXN1000193,CUST100674,MER1395,Groceries,48.58,3,2025-12-12,1.46,0,0.0564
TXN1000194,CUST100911,MER1298,Education,507.77,4,2025-09-22,12.69,0,0.0596
TXN1000195,CUST101931,MER1175,Groceries,37.5,4,2025-10-15,1.12,1,0.0708
TXN1000196,CUST101537,MER1383,Jewelry & Accessories,517.15,4,2026-08-08,33.61,0,0.2283
TXN1000197,CUST104622,MER1166,Health & Fitness,61.75,6,2026-02-06,2.78,0,0.1362
TXN1000198,CUST104943,MER1026,Travel,1195.21,2,2026-08-29,41.83,0,0.0848
TXN1000199,CUST102179,MER1227,Fashion & Apparel,180.91,3,2026-03-31,9.95,0,0.0458
TXN1000200,CUST101058,MER1223,Home & Furniture,358.07,6,2025-12-09,14.32,1,0.269
TXN1000201,CUST102524,MER1012,Education,421.96,4,2026-02-20,10.55,0,0.0902
TXN1000202,CUST102510,MER1344,Home & Furniture,664.27,2,2025-12-15,26.57,0,0.0207
TXN1000203,CUST102356,MER1196,Beauty & Wellness,33.65,2,2026-04-22,2.02,0,0.0526
TXN1000204,CUST100105,MER1336,Beauty & Wellness,83.12,6,2026-05-16,4.99,0,0.2587
TXN1000205,CUST100660,MER1016,Education,243.14,3,2026-04-18,6.08,0,0.0587
TXN1000206,CUST100730,MER1106,Fashion & Apparel,120.95,4,2025-12-08,6.65,0,0.3064
TXN1000207,CUST101868,MER1110,Fashion & Apparel,101.61,3,2025-10-24,5.59,0,0.0718
TXN1000208,CUST102944,MER1323,Sporting Goods,192.13,4,2025-12-15,9.61,0,0.1229
TXN1000209,CUST104414,MER1311,Education,430.94,3,2026-08-25,10.77,0,0.0588
TXN1000210,CUST101173,MER1018,Sporting Goods,200.66,2,2026-04-14,10.03,1,0.0391
TXN1000211,CUST103890,MER1082,Education,374.04,4,2026-03-02,9.35,0,0.0917
TXN1000212,CUST101185,MER1073,Groceries,15.0,4,2026-01-17,0.45,0,0.0474
TXN1000213,CUST100180,MER1196,Home & Furniture,582.14,2,2026-06-10,23.29,0,0.1119
TXN1000214,CUST103299,MER1296,Fashion & Apparel,63.4,4,2026-01-28,3.49,0,0.1301
TXN1000215,CUST101123,MER1277,Home & Furniture,863.86,3,2026-07-31,34.55,1,0.1402
TXN1000216,CUST104621,MER1028,Health & Fitness,84.51,3,2026-01-07,3.8,0,0.0719
TXN1000217,CUST104672,MER1391,Sporting Goods,245.34,4,2026-02-06,12.27,0,0.1433
TXN1000218,CUST100535,MER1364,Health & Fitness,179.73,4,2025-11-10,8.09,0,0.0248
TXN1000219,CUST101021,MER1256,Fashion & Apparel,136.49,4,2026-04-01,7.51,0,0.091
TXN1000220,CUST101105,MER1362,Home & Furniture,923.28,2,2025-09-27,36.93,0,0.0476
TXN1000221,CUST104583,MER1353,Home & Furniture,81.72,3,2026-06-06,3.27,0,0.0462
TXN1000222,CUST100404,MER1359,Jewelry & Accessories,333.88,2,2026-01-16,21.7,0,0.1297
TXN1000223,CUST103806,MER1081,Education,490.61,2,2026-06-04,12.27,0,0.0986
TXN1000224,CUST101512,MER1257,Sporting Goods,152.08,4,2026-09-11,7.6,0,0.1126
TXN1000225,CUST102946,MER1030,Jewelry & Accessories,350.6,2,2026-09-12,22.79,0,0.0521
TXN1000226,CUST100925,MER1006,Health & Fitness,137.9,4,2025-09-17,6.21,0,0.0427
TXN1000227,CUST104071,MER1196,Jewelry & Accessories,178.93,6,2026-03-17,11.63,0,0.1184
TXN1000228,CUST103415,MER1381,Home & Furniture,759.94,4,2026-02-02,30.4,1,0.183
TXN1000229,CUST100113,MER1228,Health & Fitness,122.09,4,2025-10-22,5.49,0,0.0898
TXN1000230,CUST101239,MER1374,Education,547.96,4,2026-06-13,13.7,0,0.0691
TXN1000231,CUST102357,MER1128,Sporting Goods,182.6,2,2026-06-01,9.13,0,0.052
TXN1000232,CUST102709,MER1263,Fashion & Apparel,173.41,4,2026-08-27,9.54,0,0.1411
TXN1000233,CUST104175,MER1287,Jewelry & Accessories,568.39,6,2025-11-10,36.95,0,0.1405
TXN1000234,CUST102026,MER1024,Groceries,23.21,3,2026-02-27,0.7,0,0.0349
TXN1000235,CUST104651,MER1220,Jewelry & Accessories,485.54,2,2025-09-18,31.56,0,0.0997
TXN1000236,CUST101018,MER1323,Electronics,518.82,4,2026-06-13,23.35,1,0.0381
TXN1000237,CUST104339,MER1235,Beauty & Wellness,101.21,12,2026-01-19,6.07,0,0.0571
TXN1000238,CUST104549,MER1347,Groceries,80.24,2,2025-10-18,2.41,0,0.0096
TXN1000239,CUST103155,MER1358,Fashion & Apparel,209.68,2,2026-02-05,11.53,1,0.0498
TXN1000240,CUST104861,MER1399,Groceries,47.5,6,2026-03-29,1.42,0,0.0578
TXN1000241,CUST102151,MER1066,Sporting Goods,389.35,2,2026-08-04,19.47,0,0.1007
TXN1000242,CUST103566,MER1257,Groceries,33.14,2,2025-10-27,0.99,0,0.0299
TXN1000243,CUST100051,MER1130,Jewelry & Accessories,311.27,4,2026-03-31,20.23,0,0.1356
TXN1000244,CUST101447,MER1071,Travel,1099.33,2,2026-01-20,38.48,0,0.1565
TXN1000245,CUST102864,MER1304,Home & Furniture,536.06,2,2025-12-11,21.44,0,0.0217
TXN1000246,CUST104406,MER1387,Fashion & Apparel,125.67,4,2026-03-22,6.91,0,0.068
TXN1000247,CUST104785,MER1198,Fashion & Apparel,155.46,3,2026-08-11,8.55,0,0.053
TXN1000248,CUST102936,MER1133,Beauty & Wellness,97.32,4,2026-02-19,5.84,0,0.0484
TXN1000249,CUST104332,MER1354,Education,804.84,2,2026-02-16,20.12,0,0.0659
TXN1000250,CUST104043,MER1007,Jewelry & Accessories,519.76,4,2026-05-21,33.78,0,0.1941
TXN1000251,CUST103903,MER1063,Fashion & Apparel,107.12,3,2026-07-08,5.89,0,0.221
TXN1000252,CUST100574,MER1253,Sporting Goods,200.59,4,2025-10-26,10.03,0,0.155
TXN1000253,CUST102421,MER1182,Groceries,80.13,3,2026-01-02,2.4,0,0.0301
TXN1000254,CUST102466,MER1005,Home & Furniture,178.68,4,2026-05-23,7.15,0,0.1468
TXN1000255,CUST103979,MER1307,Jewelry & Accessories,377.29,2,2026-07-22,24.52,0,0.2786
TXN1000256,CUST102964,MER1337,Electronics,364.26,2,2026-05-16,16.39,1,0.0481
TXN1000257,CUST104137,MER1250,Electronics,413.72,4,2026-03-20,18.62,1,0.0643
TXN1000258,CUST104803,MER1284,Sporting Goods,299.55,6,2026-09-01,14.98,0,0.0712
TXN1000259,CUST102809,MER1058,Groceries,78.12,3,2025-11-01,2.34,0,0.0763
TXN1000260,CUST104003,MER1049,Groceries,69.79,3,2026-03-30,2.09,0,0.0375
TXN1000261,CUST102828,MER1279,Sporting Goods,135.46,6,2026-05-07,6.77,0,0.0241
TXN1000262,CUST103152,MER1152,Education,707.59,2,2026-02-27,17.69,0,0.1011
TXN1000263,CUST102410,MER1218,Electronics,258.7,6,2026-04-28,11.64,0,0.0498
TXN1000264,CUST104820,MER1339,Jewelry & Accessories,335.02,2,2025-09-22,21.78,1,0.241
TXN1000265,CUST104130,MER1389,Travel,1033.48,3,2026-04-24,36.17,0,0.1574
TXN1000266,CUST103812,MER1019,Home & Furniture,713.91,6,2026-06-30,28.56,0,0.0849
TXN1000267,CUST101740,MER1253,Travel,784.33,2,2025-09-18,27.45,0,0.0342
TXN1000268,CUST102464,MER1357,Groceries,45.46,3,2026-05-03,1.36,0,0.0277
TXN1000269,CUST104358,MER1127,Groceries,97.81,4,2025-12-25,2.93,0,0.0267
TXN1000270,CUST104686,MER1224,Home & Furniture,369.23,4,2026-02-08,14.77,0,0.1312
TXN1000271,CUST104984,MER1216,Electronics,560.71,2,2025-12-05,25.23,0,0.0864
TXN1000272,CUST103738,MER1301,Sporting Goods,164.32,3,2025-11-06,8.22,0,0.0366
TXN1000273,CUST103716,MER1053,Health & Fitness,101.67,12,2025-12-22,4.58,1,0.1032
TXN1000274,CUST100473,MER1157,Education,448.83,2,2026-04-25,11.22,0,0.0511
TXN1000275,CUST103810,MER1299,Health & Fitness,138.2,2,2026-07-14,6.22,0,0.0873
TXN1000276,CUST101830,MER1182,Home & Furniture,390.9,3,2025-11-24,15.64,0,0.0658
TXN1000277,CUST104359,MER1343,Health & Fitness,225.47,2,2026-06-18,10.15,0,0.0128
TXN1000278,CUST100059,MER1108,Sporting Goods,198.52,3,2026-03-01,9.93,0,0.0572
TXN1000279,CUST104676,MER1234,Groceries,38.65,3,2025-12-19,1.16,0,0.0309
TXN1000280,CUST102456,MER1361,Home & Furniture,480.2,12,2026-01-04,19.21,1,0.2443
